======================
========== BEGIN TASK ==========
.
.
.
.
. CinemaId: 0000001001 || Cinema Name: Major Cineplex Ratchayothin
. On progress branch : 1/154
>>> Theatre Name: Theatre5 || Theatre Number: 5 || SessionId: 252046 || Showtimes: 2019-01-17T17:00:00
>>> Theatre Name: Theatre5 || Theatre Number: 5 || SessionId: 252047 || Showtimes: 2019-01-17T19:40:00
>>> Theatre Name: Theatre5 || Theatre Number: 5 || SessionId: 252048 || Showtimes: 2019-01-17T22:20:00
>>> Theatre Name: Theatre5 || Theatre Number: 5 || SessionId: 252066 || Showtimes: 2019-01-18T11:40:00
>>> Theatre Name: Theatre5 || Theatre Number: 5 || SessionId: 252067 || Showtimes: 2019-01-18T14:20:00
>>> Theatre Name: Theatre5 || Theatre Number: 5 || SessionId: 252068 || Showtimes: 2019-01-18T17:00:00
>>> Theatre Name: Theatre5 || Theatre Number: 5 || SessionId: 252069 || Showtimes: 2019-01-18T19:40:00
>>> Theatre Name: Theatre5 || Theatre Number: 5 || SessionId: 252070 || Showtimes: 2019-01-18T22:20:00
>>> Theatre Name: Theatre6 || Theatre Number: 6 || SessionId: 252041 || Showtimes: 2019-01-17T17:00:00
>>> Theatre Name: Theatre6 || Theatre Number: 6 || SessionId: 252042 || Showtimes: 2019-01-17T20:00:00
>>> Theatre Name: Theatre6 || Theatre Number: 6 || SessionId: 252043 || Showtimes: 2019-01-17T23:00:00
>>> Theatre Name: Theatre6 || Theatre Number: 6 || SessionId: 252071 || Showtimes: 2019-01-18T11:00:00
>>> Theatre Name: Theatre6 || Theatre Number: 6 || SessionId: 252072 || Showtimes: 2019-01-18T14:00:00
>>> Theatre Name: Theatre6 || Theatre Number: 6 || SessionId: 252073 || Showtimes: 2019-01-18T17:00:00
>>> Theatre Name: Theatre6 || Theatre Number: 6 || SessionId: 252074 || Showtimes: 2019-01-18T20:00:00
>>> Theatre Name: Theatre6 || Theatre Number: 6 || SessionId: 252075 || Showtimes: 2019-01-18T23:00:00
>>> Theatre Name: Theatre6 || Theatre Number: 6 || SessionId: 250845 || Showtimes: 2019-01-26T14:00:00
>>> Theatre Name: Theatre6 || Theatre Number: 6 || SessionId: 250846 || Showtimes: 2019-01-26T17:00:00
>>> Theatre Name: Theatre7 || Theatre Number: 7 || SessionId: 252036 || Showtimes: 2019-01-17T17:50:00
>>> Theatre Name: Theatre7 || Theatre Number: 7 || SessionId: 252038 || Showtimes: 2019-01-17T20:40:00
>>> Theatre Name: Theatre7 || Theatre Number: 7 || SessionId: 252037 || Showtimes: 2019-01-17T23:30:00
>>> Theatre Name: Theatre7 || Theatre Number: 7 || SessionId: 252076 || Showtimes: 2019-01-18T11:00:00
>>> Theatre Name: Theatre7 || Theatre Number: 7 || SessionId: 252077 || Showtimes: 2019-01-18T13:50:00
>>> Theatre Name: Theatre7 || Theatre Number: 7 || SessionId: 252078 || Showtimes: 2019-01-18T16:40:00
>>> Theatre Name: Theatre7 || Theatre Number: 7 || SessionId: 252183 || Showtimes: 2019-01-18T19:30:00
>>> Theatre Name: Theatre7 || Theatre Number: 7 || SessionId: 252080 || Showtimes: 2019-01-18T22:20:00
>>> Theatre Name: Theatre8 || Theatre Number: 8 || SessionId: 251998 || Showtimes: 2019-01-17T17:20:00
>>> Theatre Name: Theatre8 || Theatre Number: 8 || SessionId: 251999 || Showtimes: 2019-01-17T20:30:00
>>> Theatre Name: Theatre8 || Theatre Number: 8 || SessionId: 252000 || Showtimes: 2019-01-17T23:40:00
>>> Theatre Name: Theatre8 || Theatre Number: 8 || SessionId: 252081 || Showtimes: 2019-01-18T11:00:00
>>> Theatre Name: Theatre8 || Theatre Number: 8 || SessionId: 252082 || Showtimes: 2019-01-18T14:10:00
>>> Theatre Name: Theatre8 || Theatre Number: 8 || SessionId: 252083 || Showtimes: 2019-01-18T17:20:00
>>> Theatre Name: Theatre8 || Theatre Number: 8 || SessionId: 252084 || Showtimes: 2019-01-18T20:30:00
>>> Theatre Name: Theatre8 || Theatre Number: 8 || SessionId: 252085 || Showtimes: 2019-01-18T23:40:00
>>> Theatre Name: Theatre9 || Theatre Number: 9 || SessionId: 252003 || Showtimes: 2019-01-17T16:50:00
>>> Theatre Name: Theatre9 || Theatre Number: 9 || SessionId: 252004 || Showtimes: 2019-01-17T19:30:00
>>> Theatre Name: Theatre9 || Theatre Number: 9 || SessionId: 252033 || Showtimes: 2019-01-17T22:20:00
>>> Theatre Name: Theatre9 || Theatre Number: 9 || SessionId: 252086 || Showtimes: 2019-01-18T11:30:00
>>> Theatre Name: Theatre9 || Theatre Number: 9 || SessionId: 252087 || Showtimes: 2019-01-18T14:00:00
>>> Theatre Name: Theatre9 || Theatre Number: 9 || SessionId: 252088 || Showtimes: 2019-01-18T16:50:00
>>> Theatre Name: Theatre9 || Theatre Number: 9 || SessionId: 252089 || Showtimes: 2019-01-18T19:30:00
>>> Theatre Name: Theatre9 || Theatre Number: 9 || SessionId: 252090 || Showtimes: 2019-01-18T22:20:00
>>> Theatre Name: Theatre10 || Theatre Number: 10 || SessionId: 252029 || Showtimes: 2019-01-17T17:00:00
>>> Theatre Name: Theatre10 || Theatre Number: 10 || SessionId: 252032 || Showtimes: 2019-01-17T19:30:00
>>> Theatre Name: Theatre10 || Theatre Number: 10 || SessionId: 252030 || Showtimes: 2019-01-17T22:30:00
>>> Theatre Name: Theatre10 || Theatre Number: 10 || SessionId: 252091 || Showtimes: 2019-01-18T11:30:00
>>> Theatre Name: Theatre10 || Theatre Number: 10 || SessionId: 252092 || Showtimes: 2019-01-18T14:00:00
>>> Theatre Name: Theatre10 || Theatre Number: 10 || SessionId: 252093 || Showtimes: 2019-01-18T17:00:00
>>> Theatre Name: Theatre10 || Theatre Number: 10 || SessionId: 252094 || Showtimes: 2019-01-18T19:30:00
>>> Theatre Name: Theatre10 || Theatre Number: 10 || SessionId: 252095 || Showtimes: 2019-01-18T22:30:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 252007 || Showtimes: 2019-01-17T18:30:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 252008 || Showtimes: 2019-01-17T21:30:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 252096 || Showtimes: 2019-01-18T12:30:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 252097 || Showtimes: 2019-01-18T15:30:00
