Last login: Thu Jan 17 10:32:46 on ttys001
next-major $node ./tools/checkingSeatsInGroup
======================
========== BEGIN TASK ==========
.
.
.
.
. CinemaId: 0000001001 || Cinema Name: Major Cineplex Ratchayothin
. On progress branch : 1/154
>>> Theatre Name: Theatre7 || Theatre Number: 7 || SessionId: 252076 || Showtimes: 2019-01-18T11:00:00
>>> Theatre Name: Theatre7 || Theatre Number: 7 || SessionId: 252077 || Showtimes: 2019-01-18T13:50:00
>>> Theatre Name: Theatre7 || Theatre Number: 7 || SessionId: 252078 || Showtimes: 2019-01-18T16:40:00
>>> Theatre Name: Theatre7 || Theatre Number: 7 || SessionId: 252183 || Showtimes: 2019-01-18T19:30:00
>>> Theatre Name: Theatre7 || Theatre Number: 7 || SessionId: 252080 || Showtimes: 2019-01-18T22:20:00
>>> Theatre Name: Theatre8 || Theatre Number: 8 || SessionId: 251996 || Showtimes: 2019-01-17T11:00:00
>>> Theatre Name: Theatre8 || Theatre Number: 8 || SessionId: 251997 || Showtimes: 2019-01-17T14:10:00
>>> Theatre Name: Theatre8 || Theatre Number: 8 || SessionId: 251998 || Showtimes: 2019-01-17T17:20:00
>>> Theatre Name: Theatre8 || Theatre Number: 8 || SessionId: 251999 || Showtimes: 2019-01-17T20:30:00
>>> Theatre Name: Theatre8 || Theatre Number: 8 || SessionId: 252000 || Showtimes: 2019-01-17T23:40:00
>>> Theatre Name: Theatre8 || Theatre Number: 8 || SessionId: 252081 || Showtimes: 2019-01-18T11:00:00
>>> Theatre Name: Theatre8 || Theatre Number: 8 || SessionId: 252082 || Showtimes: 2019-01-18T14:10:00
>>> Theatre Name: Theatre8 || Theatre Number: 8 || SessionId: 252083 || Showtimes: 2019-01-18T17:20:00
>>> Theatre Name: Theatre8 || Theatre Number: 8 || SessionId: 252084 || Showtimes: 2019-01-18T20:30:00
>>> Theatre Name: Theatre8 || Theatre Number: 8 || SessionId: 252085 || Showtimes: 2019-01-18T23:40:00
>>> Theatre Name: Theatre9 || Theatre Number: 9 || SessionId: 252001 || Showtimes: 2019-01-17T11:30:00
>>> Theatre Name: Theatre9 || Theatre Number: 9 || SessionId: 252002 || Showtimes: 2019-01-17T14:00:00
>>> Theatre Name: Theatre9 || Theatre Number: 9 || SessionId: 252003 || Showtimes: 2019-01-17T16:50:00
>>> Theatre Name: Theatre9 || Theatre Number: 9 || SessionId: 252004 || Showtimes: 2019-01-17T19:30:00
>>> Theatre Name: Theatre9 || Theatre Number: 9 || SessionId: 252033 || Showtimes: 2019-01-17T22:20:00
>>> Theatre Name: Theatre9 || Theatre Number: 9 || SessionId: 252086 || Showtimes: 2019-01-18T11:30:00
>>> Theatre Name: Theatre9 || Theatre Number: 9 || SessionId: 252087 || Showtimes: 2019-01-18T14:00:00
>>> Theatre Name: Theatre9 || Theatre Number: 9 || SessionId: 252088 || Showtimes: 2019-01-18T16:50:00
>>> Theatre Name: Theatre9 || Theatre Number: 9 || SessionId: 252089 || Showtimes: 2019-01-18T19:30:00
>>> Theatre Name: Theatre9 || Theatre Number: 9 || SessionId: 252090 || Showtimes: 2019-01-18T22:20:00
>>> Theatre Name: Theatre10 || Theatre Number: 10 || SessionId: 252028 || Showtimes: 2019-01-17T11:30:00
>>> Theatre Name: Theatre10 || Theatre Number: 10 || SessionId: 252031 || Showtimes: 2019-01-17T14:00:00
>>> Theatre Name: Theatre10 || Theatre Number: 10 || SessionId: 252029 || Showtimes: 2019-01-17T17:00:00
>>> Theatre Name: Theatre10 || Theatre Number: 10 || SessionId: 252032 || Showtimes: 2019-01-17T19:30:00
>>> Theatre Name: Theatre10 || Theatre Number: 10 || SessionId: 252030 || Showtimes: 2019-01-17T22:30:00
>>> Theatre Name: Theatre10 || Theatre Number: 10 || SessionId: 252091 || Showtimes: 2019-01-18T11:30:00
>>> Theatre Name: Theatre10 || Theatre Number: 10 || SessionId: 252092 || Showtimes: 2019-01-18T14:00:00
>>> Theatre Name: Theatre10 || Theatre Number: 10 || SessionId: 252093 || Showtimes: 2019-01-18T17:00:00
>>> Theatre Name: Theatre10 || Theatre Number: 10 || SessionId: 252094 || Showtimes: 2019-01-18T19:30:00
>>> Theatre Name: Theatre10 || Theatre Number: 10 || SessionId: 252095 || Showtimes: 2019-01-18T22:30:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 252005 || Showtimes: 2019-01-17T12:30:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 252006 || Showtimes: 2019-01-17T15:30:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 252007 || Showtimes: 2019-01-17T18:30:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 252008 || Showtimes: 2019-01-17T21:30:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 252096 || Showtimes: 2019-01-18T12:30:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 252097 || Showtimes: 2019-01-18T15:30:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 252098 || Showtimes: 2019-01-18T18:30:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 252099 || Showtimes: 2019-01-18T21:30:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 251813 || Showtimes: 2019-01-31T13:00:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 251814 || Showtimes: 2019-01-31T15:30:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 251815 || Showtimes: 2019-01-31T18:00:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 251816 || Showtimes: 2019-01-31T20:30:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 251817 || Showtimes: 2019-01-31T23:00:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 251823 || Showtimes: 2019-02-01T13:00:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 251824 || Showtimes: 2019-02-01T15:30:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 251825 || Showtimes: 2019-02-01T18:00:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 251826 || Showtimes: 2019-02-01T20:30:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 251827 || Showtimes: 2019-02-01T23:00:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 251839 || Showtimes: 2019-02-02T13:00:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 251840 || Showtimes: 2019-02-02T15:30:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 251841 || Showtimes: 2019-02-02T18:00:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 251842 || Showtimes: 2019-02-02T20:30:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 251843 || Showtimes: 2019-02-02T23:00:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 251855 || Showtimes: 2019-02-03T13:00:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 251856 || Showtimes: 2019-02-03T15:30:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 251857 || Showtimes: 2019-02-03T18:00:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 251858 || Showtimes: 2019-02-03T20:30:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 251859 || Showtimes: 2019-02-03T23:00:00
>>> Theatre Name: Theatre12 || Theatre Number: 12 || SessionId: 252023 || Showtimes: 2019-01-17T11:00:00
>>> Theatre Name: Theatre12 || Theatre Number: 12 || SessionId: 252024 || Showtimes: 2019-01-17T13:50:00
>>> Theatre Name: Theatre12 || Theatre Number: 12 || SessionId: 252025 || Showtimes: 2019-01-17T16:40:00
>>> Theatre Name: Theatre12 || Theatre Number: 12 || SessionId: 252026 || Showtimes: 2019-01-17T19:30:00
>>> Theatre Name: Theatre12 || Theatre Number: 12 || SessionId: 252027 || Showtimes: 2019-01-17T22:20:00
>>> Theatre Name: Theatre12 || Theatre Number: 12 || SessionId: 252100 || Showtimes: 2019-01-18T12:20:00
>>> Theatre Name: Theatre12 || Theatre Number: 12 || SessionId: 252101 || Showtimes: 2019-01-18T15:10:00
>>> Theatre Name: Theatre12 || Theatre Number: 12 || SessionId: 252102 || Showtimes: 2019-01-18T18:00:00
>>> Theatre Name: Theatre12 || Theatre Number: 12 || SessionId: 252103 || Showtimes: 2019-01-18T20:50:00
>>> Theatre Name: Theatre12 || Theatre Number: 12 || SessionId: 252104 || Showtimes: 2019-01-18T23:40:00
>>> Theatre Name: Theatre13 || Theatre Number: 13 || SessionId: 252009 || Showtimes: 2019-01-17T11:30:00
.....
.....
..... Theatre Name: Theatre13 || Screen Number: 13
